10,0.05261,0.0559,32.7
11,0.04168,0.0445,41.4
12,0.03308,0.03564,52.1
13,0.02626,0.02836,65.6
14,0.02082,0.02295,82.8
15,0.01651,0.01837,104.3
16,0.01307,0.01473,131.8
17,0.01039,0.01168,165.8
18,0.008228,0.009326,209.5
19,0.006531,0.007539,263.9
20,0.005188,0.006065,332.3
21,0.004116,0.004837,418.9
22,0.003243,0.003857,531.4
23,0.002588,0.003135,666
24,0.002047,0.002514,842.1
25,0.001623,0.002002,1062
26,0.00128,0.001603,1345
27,0.01021,0.001313,1687
28,0.000805,0.001052,2142
29,0.000647,0.000855,2664
30,0.000507,0.000679,3402
31,0.000401,0.00056,4294
32,0.000324,0.000456,5315
33,0.000255,0.000366,6748
34,0.000201,0.000286,8572
35,0.000159,0.000227,10849
36,0.000127,0.000181,13608
37,0.000103,0.000154,16801
38,0.0000811,0.000121,21266
39,0.0000621,0.0000932,27775
40,0.0000487,0.0000723,35400
41,0.0000397,0.0000584,43405
42,0.0000317,0.0000456,54429
43,0.0000245,0.0000368,70308
44,0.0000202,0.0000316,85072
